account_id,account_number,customer_id,customer_type,account_status,record_arrival_date
500001,ACCT-000001,1,individual,active,2026-08-02
500002,ACCT-000002,2,premium,active,2026-08-03
500003,ACCT-000003,3,business,dormant,2026-08-04
500004,ACCT-000004,4,individual,closed,2026-08-05
500005,ACCT-000005,5,premium,active,2026-08-06
500006,ACCT-000006,6,business,active,2026-08-07
500007,ACCT-000007,7,individual,dormant,2026-08-08
500008,ACCT-000008,8,premium,closed,2026-08-09
500009,ACCT-000009,9,business,active,2026-08-10
500010,ACCT-000010,10,individual,active,2026-08-01
500011,ACCT-000011,11,premium,dormant,2026-08-02
500012,ACCT-000012,12,business,closed,2026-08-03
500013,ACCT-000013,13,individual,active,2026-08-04
500014,ACCT-000014,14,premium,active,2026-08-05
500015,ACCT-000015,15,business,dormant,2026-08-06
500016,ACCT-000016,16,individual,closed,2026-08-07
500017,ACCT-000017,17,premium,active,2026-08-08
500018,ACCT-000018,18,business,active,2026-08-09
500019,ACCT-000019,19,individual,dormant,2026-08-10
500020,ACCT-000020,20,premium,closed,2026-08-01
500021,ACCT-000021,21,business,active,2026-08-02
500022,ACCT-000022,22,individual,active,2026-08-03
500023,ACCT-000023,23,premium,dormant,2026-08-04
500024,ACCT-000024,24,business,closed,2026-08-05
500025,ACCT-000025,25,individual,active,2026-08-06
500026,ACCT-000026,26,premium,active,2026-08-07
500027,ACCT-000027,27,business,dormant,2026-08-08
500028,ACCT-000028,28,individual,closed,2026-08-09
500029,ACCT-000029,29,premium,active,2026-08-10
500030,ACCT-000030,30,business,active,2026-08-01
500031,ACCT-000031,31,individual,dormant,2026-08-02
500032,ACCT-000032,32,premium,closed,2026-08-03
500033,ACCT-000033,33,business,active,2026-08-04
500034,ACCT-000034,34,individual,active,2026-08-05
500035,ACCT-000035,35,premium,dormant,2026-08-06
500036,ACCT-000036,36,business,closed,2026-08-07
500037,ACCT-000037,37,individual,active,2026-08-08
500038,ACCT-000038,38,premium,active,2026-08-09
500039,ACCT-000039,39,business,dormant,2026-08-10
500040,ACCT-000040,40,individual,closed,2026-08-01
500041,ACCT-000041,41,premium,active,2026-08-02
500042,ACCT-000042,42,business,active,2026-08-03
500043,ACCT-000043,43,individual,dormant,2026-08-04
500044,ACCT-000044,44,premium,closed,2026-08-05
500045,ACCT-000045,45,business,active,2026-08-06
500046,ACCT-000046,46,individual,active,2026-08-07
500047,ACCT-000047,47,premium,dormant,2026-08-08
500048,ACCT-000048,48,business,closed,2026-08-09
500049,ACCT-000049,49,individual,active,2026-08-10
500050,ACCT-000050,50,premium,active,2026-08-01
500051,ACCT-000051,51,business,dormant,2026-08-02
500052,ACCT-000052,52,individual,closed,2026-08-03
500053,ACCT-000053,53,premium,active,2026-08-04
500054,ACCT-000054,54,business,active,2026-08-05
500055,ACCT-000055,55,individual,dormant,2026-08-06
500056,ACCT-000056,56,premium,closed,2026-08-07
500057,ACCT-000057,57,business,active,2026-08-08
500058,ACCT-000058,58,individual,active,2026-08-09
500059,ACCT-000059,59,premium,dormant,2026-08-10
500060,ACCT-000060,60,business,closed,2026-08-01
500061,ACCT-000061,61,individual,active,2026-08-02
500062,ACCT-000062,62,premium,active,2026-08-03
500063,ACCT-000063,63,business,dormant,2026-08-04
500064,ACCT-000064,64,individual,closed,2026-08-05
500065,ACCT-000065,65,premium,active,2026-08-06
500066,ACCT-000066,66,business,active,2026-08-07
500067,ACCT-000067,67,individual,dormant,2026-08-08
500068,ACCT-000068,68,premium,closed,2026-08-09
500069,ACCT-000069,69,business,active,2026-08-10
500070,ACCT-000070,70,individual,active,2026-08-01
500071,ACCT-000071,71,premium,dormant,2026-08-02
500072,ACCT-000072,72,business,closed,2026-08-03
500073,ACCT-000073,73,individual,active,2026-08-04
500074,ACCT-000074,74,premium,active,2026-08-05
500075,ACCT-000075,75,business,dormant,2026-08-06
500076,ACCT-000076,76,individual,closed,2026-08-07
500077,ACCT-000077,77,premium,active,2026-08-08
500078,ACCT-000078,78,business,active,2026-08-09
500079,ACCT-000079,79,individual,dormant,2026-08-10
500080,ACCT-000080,80,premium,closed,2026-08-01
500081,ACCT-000081,81,business,active,2026-08-02
500082,ACCT-000082,82,individual,active,2026-08-03
500083,ACCT-000083,83,premium,dormant,2026-08-04
500084,ACCT-000084,84,business,closed,2026-08-05
500085,ACCT-000085,85,individual,active,2026-08-06
500086,ACCT-000086,86,premium,active,2026-08-07
500087,ACCT-000087,87,business,dormant,2026-08-08
500088,ACCT-000088,88,individual,closed,2026-08-09
500089,ACCT-000089,89,premium,active,2026-08-10
500090,ACCT-000090,90,business,active,2026-08-01
500091,ACCT-000091,91,individual,dormant,2026-08-02
500092,ACCT-000092,92,premium,closed,2026-08-03
500093,ACCT-000093,93,business,active,2026-08-04
500094,ACCT-000094,94,individual,active,2026-08-05
500095,ACCT-000095,95,premium,dormant,2026-08-06
500096,ACCT-000096,96,business,closed,2026-08-07
500097,ACCT-000097,97,individual,active,2026-08-08
500098,ACCT-000098,98,premium,active,2026-08-09
500099,ACCT-000099,99,business,dormant,2026-08-10
500100,ACCT-000100,100,individual,closed,2026-08-01
